ev_id,ev_type,regis_no,ntsb_no,ev_date,ev_time,ev_city,ev_country,latitude,longitude,acft_category,acft_make,acft_model,num_eng,DAMAGE,flight_type,afm_hrs,date_last_insp,afm_hrs_last_insp,light_condition,wmc,gust_ind,on_ground_collision,inj_f_grnd,inj_m_grnd,inj_s_grnd,inj_tot_f,inj_tot_m,inj_tot_n,inj_tot_s,inj_tot_t,ev_highest_injury,flight_phase,defining_event,survivors_b,pilot_flight_time_model,pilot_flight_time_total,pilot_flight_time_categ,SOURCE
20080219X00203,Accident,N2490J,NYC08CA079,10/01/2008,44,Sarasota,USA,271535N,0821715W,Airplane,Cessna,150G,1,Substantial,Personal,1651.5,2007-11-01 00:00:00,4.59999990463257,Dusk,Visual Meteorological Cond,T,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080123X00090,Accident,N7100Q,MIA08FA038,12/01/2008,2038,Clearwater,USA,275447N,0824029W,Airplane,CESSNA,172L,1,Substantial,Personal,4035.39990234375,2007-04-01 00:00:00,235.399993896484,Day,Visual Meteorological Cond,T,,,,,3,0,0,0,3,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080304X00261,Accident,N84JC,MIA08CA039,12/01/2008,2000,Lapine,USA,315817N,0861723W,Airplane,Piper,PA-32-300,1,Substantial,Personal,1925.0,2007-12-01 00:00:00,1530.0,Day,Visual Meteorological Cond,T,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080207X00153,Accident,N49588,SEA08CA059,13/01/2008,15,La Verna,USA,035529N,1174654W,Helicopter,Bell,206 B2,1,Substantial,Personal,,,,Day,Visual Meteorological Cond,T,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080213X00179,Accident,N522RJ,SEA08LA060,14/01/2008,120,Santa Monica,USA,034057N,0118274W,Airplane,DeSousa,Jabiru J400,1,Substantial,Personal,160.0,2007-08-01 00:00:00,,Dusk,Visual Meteorological Cond,T,,,,,0,0,3,0,3,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080116X00062,Accident,N2637Y,CHI08FA061,12/01/2008,1739,Port Clinton,USA,413138N,0825212W,Airplane,Cessna,340,2,Substantial,Personal,6820.2001953125,2007-01-01 00:00:00,,Day,Visual Meteorological Cond,T,,,,,4,0,0,0,4,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080118X00073,Accident,N508UA,SEA08LA061,14/01/2008,329,San Francisco,USA,037378N,1222229W,Airplane,BOEING,757-222,2,Substantial,,59365.0,2007-04-01 00:00:00,,Night,Visual Meteorological Cond,T,Y,,,,0,0,61,0,61,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080118X00073,Accident,N705SK,SEA08LA061,14/01/2008,329,San Francisco,USA,037378N,1222229W,Airplane,"Bombardier, Inc.",CL-600-2C10,2,Substantial,,10507.0,2008-01-01 00:00:00,2643.0,Night,Visual Meteorological Cond,T,Y,,,,0,0,61,0,61,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080219X00204,Accident,N48251,NYC08CA080,11/01/2008,1800,Labelle,USA,264644N,0812556W,Airplane,Cessna,C-152,1,Substantial,Instructional,10875.0,2007-12-01 00:00:00,,Day,Visual Meteorological Cond,T,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080117X00069,Accident,N7243V,SEA08LA063,13/01/2008,2334,Centerville,USA,454259N,0120594W,Airplane,Piper,PA-12,1,Substantial,Personal,3730.0,2007-06-01 00:00:00,50.0,Day,Visual Meteorological Cond,T,,,,,0,1,1,0,2,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080115X00046,Accident,N26WR,MIA08LA034,03/01/2008,2045,Stevensville,USA,385821N,0761928W,Airplane,Costruzioni Aeronautiche,P2002 Sierra,1,Substantial,Personal,133.0,2007-12-01 00:00:00,19.0,Day,Visual Meteorological Cond,F,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080220X00219,Accident,D-HJET,DEN08WA048,07/01/2008,800,Zuzenhausen,GE,049240N,0008420E,Helicopter,Bell,206B,,Destroyed,Aerial Observation,,,,,Instrument Meteorological Cond,F,,,,,1,1,0,0,2,FATL,calcular,calcular,T,0,0,calcular,POST_1982
20080115X00052,Accident,N12606,DEN08LA049,12/01/2008,2200,Pine Bluffs,USA,041912N,0104749W,Airplane,Cessna,172M,1,Substantial,Personal,5828.0,,180.0,Day,Visual Meteorological Cond,F,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080213X00180,Accident,N7988P,SEA08LA064,12/01/2008,215,Placerville,USA,384327N,1204512W,Airplane,Piper,PA-24-250,1,Substantial,Personal,2651.0,2007-08-01 00:00:00,,Night,Visual Meteorological Cond,T,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080204X00131,Accident,N8280J,SEA08CA065,08/01/2008,2105,Riverside,USA,335118N,1172543W,Helicopter,Robinson,R-22,1,Substantial,Personal,,,,Day,Visual Meteorological Cond,T,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080118X00079,Accident,V5-GWH,DCA08WA027,11/01/2008,1425,Windhoek,WA,223642S,0017454E,Airplane,Cessna,210M,,Destroyed,,,,,,Visual Meteorological Cond,F,,,,,6,0,0,0,6,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080204X00132,Accident,OB-1850,NYC08WA081,16/01/2008,1850,Kiteni,PE,121128S,0073010W,Helicopter,Bell,212,,Substantial,,,,,,,F,,,,,0,0,0,0,,,calcular,calcular,T,0,0,calcular,POST_1982
20080129X00119,Accident,N712AT,DFW08FA056,17/01/2008,443,Tulsa,USA,361333N,0955322W,Airplane,AERO COMMANDER,500B,2,Substantial,,17888.0,2008-01-10 00:00:00,,Night,Instrument Meteorological Cond,F,,,,,1,0,0,0,1,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080214X00194,Accident,N85393,CHI08CA060,04/01/2008,2045,Whitmore Lake,USA,422235N,0834734W,Airplane,American Champion (ACAC),7AC,1,Substantial,Personal,,,,Day,Visual Meteorological Cond,T,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080129X00117,Accident,N90413,CHI08CA063,12/01/2008,2027,Newark,USA,040148N,0822743W,Gyrocraft,Newbold,Newbold 2000,1,Substantial,Instructional,,,,Day,Visual Meteorological Cond,F,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080117X00065,Accident,G-YMMM,DCA08RA028,17/01/2008,1,London,UK,,,Airplane,Boeing,777-236ER,,Substantial,,,,,,,F,,,,,0,2,191,0,193,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080117X00067,Accident,N410UB,SEA08FA062,14/01/2008,1508,Lihue,USA,021512N,1591927W,Airplane,Hawker Beechcraft Corporation,1900C,2,Destroyed,,19123.900390625,2007-11-01 00:00:00,73.0,Night/Dark,Visual Meteorological Cond,F,,,,,1,0,0,0,1,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080118X00075,Accident,N1701U,ANC08LA032,16/01/2008,1615,Aniak,USA,613454N,1593230W,Airplane,Cessna,207,1,Substantial,Positioning,18448.0,2007-10-01 00:00:00,94.0,Day,Instrument Meteorological Cond,T,,,,,0,0,0,1,1,SERS,calcular,calcular,T,0,0,calcular,POST_1982
20080122X00085,Accident,N3217L,CHI08FA066,17/01/2008,22,Cleveland,USA,041313N,0081410W,Airplane,Hawker Beechcraft Corp.,58,2,Substantial,Positioning,2106.39990234375,2007-09-20 00:00:00,84.0999984741211,Night,Visual Meteorological Cond,T,,,,,1,0,0,0,1,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080118X00074,Accident,N454SF,ANC08LA031,15/01/2008,1839,Bethel,USA,604647N,1615017W,Airplane,Cessna,208B,1,Substantial,,8612.0,2008-01-01 00:00:00,2.0,Day,Visual Meteorological Cond,T,,,,,0,1,4,0,5,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080123X00091,Accident,N414DJ,MIA08LA041,17/01/2008,1911,Norwood,USA,421138N,0711040W,Airplane,Grumman American ,AA-5B,1,Substantial,Personal,1756.0,2007-06-01 00:00:00,96.0,Day,Visual Meteorological Cond,T,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080215X00202,Accident,N122AA,NYC08CA083,15/01/2008,1715,Fenner,USA,425952N,0754713W,Helicopter,Robinson,R44 II,1,Substantial,,455.0,2007-11-01 00:00:00,,Day,Instrument Meteorological Cond,T,,,,,0,1,3,0,4,MINR,calcular,calcular,T,0,0,calcular,POST_1982
20080220X00218,Accident,N819C,DEN08CA051,17/01/2008,2300,Taos,USA,362729N,1054020W,Airplane,Piper,PA-32-301XTC,1,Substantial,Personal,,,,Dusk,Visual Meteorological Cond,F,,,,,0,0,4,0,4,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080321X00354,Accident,N9896,NYC08CA084,05/01/2008,2210,Brooksville,USA,282824N,0822718W,Airplane,Piper,PA-32R-300,1,Substantial,Personal,,,,Day,Visual Meteorological Cond,F,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080128X00111,Accident,N169CA,DFW08FA057,18/01/2008,1830,San Antonio,USA,292047N,0981740W,Airplane,PIPER,PA46-500TP,1,Destroyed,Personal,111.0,2007-08-31 00:00:00,66.0,Day,Instrument Meteorological Cond,T,,,,,1,0,0,0,1,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080312X00302,Accident,N3528W,MIA08CA042,14/01/2008,518,Atlanta,USA,335232N,0084187W,Airplane,Piper,PA-32-260,1,Substantial,Personal,,,,Night,Visual Meteorological Cond,T,,,,,0,0,1,0,1,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080312X00300,Accident,N2669A,NYC08CA085,19/01/2008,1900,Arley,USA,034052N,0008778W,Airplane,Quicksilver,Sport 2S,1,Substantial,Personal,4.69999980926514,,,Day,Visual Meteorological Cond,T,,,,,0,0,2,0,2,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080131X00125,Accident,N8JZ,MIA08LA043,20/01/2008,2130,Kissimmee,USA,281714N,0081268W,Airplane,Cessna,U206F,1,Substantial,Personal,1755.0,2007-08-01 00:00:00,4.0,Day,Visual Meteorological Cond,F,,,,,0,0,3,0,3,NONE,calcular,calcular,T,0,0,calcular,POST_1982
20080125X00104,Accident,I-ESER,NYC08WA082,12/01/2008,1037,Treviso,IT,453855N,0121143W,Airplane,Piper,PA-28-181,,Substantial,Personal,,,,,,F,,,,,2,0,0,0,2,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080128X00108,Accident,N18HB,MIA08FA044,22/01/2008,1734,Ochopee,USA,255141N,0805250W,Helicopter,Robinson,R44,1,Substantial,Personal,2275.0,2007-06-01 00:00:00,95.0,Day,Visual Meteorological Cond,T,,,,,2,0,0,0,2,FATL,calcular,calcular,F,0,0,calcular,POST_1982
20080123X00098,Accident,N4662M,LAX08FA047,18/01/2008,2200,Selma,USA,363354N,1194326W,Airplane,Beechcraft,V35B,1,Substantial,Personal,2931.0,2007-03-01 00:00:00,,Day,Visual Meteorological Cond,T,,,,,1,0,0,0,1,FATL,calcular,calcular,F,0,0,calcular,POST_1982
